Year,Anomaly_Full_Year,Anomaly_Jan_Jul
1970,0.05,0.09
1971,-0.05,-0.06
1972,0.03,-0.02
1973,0.2,0.29
1974,-0.05,-0.06
1975,0.01,0.08
1976,-0.03,-0.05
1977,0.21,0.24
1978,0.11,0.12
1979,0.22,0.15
1980,0.29,0.34
1981,0.35,0.39
1982,0.19,0.17
1983,0.35,0.37
1984,0.2,0.23
1985,0.17,0.17
1986,0.22,0.27
1987,0.34,0.32
1988,0.42,0.46
1989,0.29,0.27
1990,0.45,0.49
1991,0.42,0.47
1992,0.23,0.33
1993,0.27,0.34
1994,0.32,0.3
1995,0.48,0.51
1996,0.36,0.37
1997,0.5,0.43
1998,0.63,0.71
1999,0.42,0.43
2000,0.43,0.47
2001,0.55,0.54
2002,0.62,0.66
2003,0.63,0.61
2004,0.55,0.54
2005,0.71,0.7
2006,0.66,0.62
2007,0.66,0.71
2008,0.55,0.5
2009,0.66,0.61
2010,0.73,0.79
2011,0.63,0.62
2012,0.66,0.63
2013,0.69,0.65
2014,0.77,0.75
2015,0.92,0.85
2016,1.03,1.11
2017,0.95,0.98
2018,0.86,0.85
2019,0.98,0.96
2020,1.01,1.06
2021,0.86,0.82
2022,0.91,0.93
